Qty,Value,Device,Package,Parts,Description
6,N/A,LEDSML0603,SML0603,"PDO1, PDO1_SRC, PDO2, PDO3, PDO4, SSMX_DP_ACTIVE, SSMX_FLIP_ACTIVE",BLUE_LED_GENERIC
1,N/A,LEDSML0603,SML0603,CHRG,WHITE_LED_GENERIC
1,N/A,LEDSML0603,SML0603,VBAT_L,RED_LED_GENERIC
5,0R,R-EU_R0402,R0402,"JU_5, R13, R34, R36, R42",Resistor
1,0.047µF,C-EUC0603,C0603,C29,Capacitor
1,0.1uF,C-EUC0402,C0402,C20,Capacitor
6,0.1uF,C-EUC0402-YVELTAL,C0402,"C17, C19, C39, C54, C62, C65",Capacitor
4,0.1uF,C-EUC0603,C0603,"C12, C13, C18, C26",Capacitor
1,0.47uF,C-EUC0402-YVELTAL,C0402,C64,Capacitor
2,0R,R-EU_R0402,R0402,"R51, R54",Resistor
1,1.0uF,1.0UF-0603-16V-10%,C0603,C93,Capacitor
5,1.8k,R-EU_R0402,R0402,"R38, R47, R48, R52, R53",Resistor
2,100K,R-EU_R0402,R0402,"R60, R61",Resistor
3,100R,R-EU_R0402,R0402,"R8, R44, R55",Resistor
1,100k,R-EU_R0402,R0402,R50,Resistor
3,100k 1%,R-EU_R0402,R0402,"R24, R64, R65",Resistor
18,100nF,C-EUC0402,C0402,"C6, C7, C21, C22, C24, C25, C33, C34, C37, C70, C71, C72, C73, C74, C75, C80, C81, C82",Capacitor
12,100nF,C-EUC0402-YVELTAL,C0402,"C3, C5, C9, C32, C49, C51, C53, C56, C63, C67, C84, C94",Capacitor
1,100pF,C-EUC0402-YVELTAL,C0402,C57,Capacitor
2,100uF,C-EUC1206,C1206,"C35, C36",Capacitor
1,105450-0101,105450-0101,MOLEX_105450-0101,J7,USB-C Connector
1,1072TR,1072TR,CONN_1072TR_KEY,J11,Coin Cell Connector
5,10K,R-EU_R0402,R0402,"R11, R27, R40, R62, R90",Resistor
5,10R,R-EU_R0603,R0603,"R15, R16, R17, R18, R19",Resistor
12,10k,R-EU_R0402,R0402,"R1, R2, R6, R31, R56, R77, R79, R80, R81, R82, R83, R85",Resistor
2,10k,R-EU_R0603,R0603,"R26, R35",Resistor
1,10k 1%,R-EU_R0402,R0402,R63,Resistor
1,10kΩ,R-EU_R0402,R0402,R45,Resistor
1,10kΩ,R-EU_R0603,R0603,R46,Resistor
4,10nF,C-EUC0805,C0805,"C43, C44, C45, C48",Capacitor
1,10uF,1.0UF-0603-16V-10%,C0603,C121,Capacitor
1,10uF,1.0UF-0805-25V-(+80/-20%),C0805,C38,Capacitor
