Designator,Mid X,Mid Y,Layer,Rotation
+5V,19.3,85.27,Top,180
1V8_SCL,31.7,70.9,Top,0
1V8_SDA,33.6,70.9,Top,0
3V3_SCL,2.6,59.3,Top,0
3V3_SDA,3.5,60.1,Top,0
BT_DIS,13.7,80.67,Top,180
C1,18.78,18.92,Top,0
C3,6.9,41.6,Top,90
C4,34.91,23.59,Top,270
C5,8,41.6,Top,90
C6,16.1,48.4,Top,0
C7,16.1,49.4,Top,0
C8,32,46,Top,0
C9,69.3,54.5,Top,270
C10,-4.1,14.7,Top,90
C11,-3.1,14.7,Top,90
C12,-6.65,59.4,Top,180
C13,-2.3,55.25,Top,270
C14,-2.05,67,Top,90
C15,-0.75,67,Top,90
C16,3.5,62.7,Top,90
C17,32.8,80.6,Top,0
C18,-7.85,67,Top,270
C19,28.8,80.6,Top,180
C20,11.07,10.51,Top,270
C21,13.2,60.5,Top,180
C22,13.2,59.5,Top,180
C23,32.92,15.95,Top,270
C24,13.8,61.9,Top,0
C25,13.8,62.9,Top,0
C26,-3.8,55.25,Top,270
C27,30.97,15.95,Top,270
C28,29.02,15.95,Top,270
C29,24.85,21.5,Top,90
C30,22.97,21.5,Top,270
C31,25.8,12.5,Top,45
C32,60.3,7.3,Top,180
C33,18.34,57.72,Top,270
C34,17.39,57.72,Top,270
C35,-6.05,67.4,Top,90
C36,-3.85,67.4,Top,90
C37,1.07,16.5,Top,135
C38,62,16.6,Top,0
C39,-2.4,28,Top,90
C40,17.4,9.2,Top,90
C41,18.4,9.2,Top,90
C42,19.7,8.9,Top,90
C43,-7.74,0,Top,270
C44,-3.3,7.4,Top,270
C45,-0.6,7.4,Top,270
C46,58.9,73.3,Top,90
C47,55.5,81,Top,180
C48,5.16,1.3,Top,270
C49,22.8,67.74,Top,225
C50,14.5,5.9,Top,270
C51,20.26,68.4,Top,315
C52,12.8,14,Top,90
C53,27.6,60.14,Top,225
C54,48.9,23.9,Top,90
C55,21.35,21.5,Top,270
C56,32.7,35.2,Top,180
C57,42.7,25.2,Top,90
C58,43.6,25.2,Top,90
C59,60.3,6.4,Top,180
C60,14,14,Top,90
C61,11.7,14,Top,90
C62,48,79.27,Top,0
C63,44.5,25.2,Top,90
C64,31,11.4,Top,0
C65,28.29,11.43,Top,0
C66,51.3,17.7,Top,270
