Part Value/No,Designator,Quantity,Unit Price,Total,Footprint,Source Link
0.1uF,C2 C3 C10 C14 C25 C26 C27 C28 C30 C31 C33 C34 C35 C37,50,0.0054,0.27,C0402,https://www.digikey.jp/en/products/detail/samsung-electro-mechanics/CL05A104KA5NNNC/3886701
1K,R12 R15,10,0.015,0.15,R0402,https://www.digikey.jp/en/products/detail/yageo/RC0402FR-071KL/726513
1uF,C29 C32 C36,10,0.017,0.17,C0402,https://www.digikey.jp/en/products/detail/samsung-electro-mechanics/CL05A105KQ5NNNC/3886668
2.2nF,C1,1,0.11,0.11,C0402,https://www.digikey.jp/en/products/detail/kemet/C0402C222K3GEC7867/8644401
5.1K,R4 R5,10,0.012,0.12,R0402,https://www.digikey.jp/en/products/detail/yageo/RC0402FR-135K1L/14286364
10K,R1 R2 R3 R6 R11,10,0.012,0.12,R0402,https://www.digikey.jp/en/products/detail/bourns-inc/CR0402-FX-1002GLF/3593192
10pF,C15 C20,10,0.025,0.25,C0402,https://www.digikey.jp/en/products/detail/murata-electronics/GRM1555C1H100JA01D/3661907
10uF,C5 C6,10,0.019,0.19,C0402,https://www.digikey.jp/en/products/detail/murata-electronics/GRM155R60J106ME05D/11500166
274R,R9 R10 R16,10,0.015,0.15,R0402,https://www.digikey.jp/en/products/detail/yageo/RC0402FR-0727R4L/5280945
100R,R7 R8,10,0.015,0.15,R0402,https://www.digikey.jp/en/products/detail/yageo/RC0402FR-07100RL/726527
434133025816,S1 U9,2,0.54,1.08,SMD_025816_WRE,https://www.digikey.jp/en/products/detail/w%C3%BCrth-elektronik/434133025816/9950810
5034802000,J4,1,1.79,1.79,CON_5034802000_MOL,https://www.digikey.jp/en/products/detail/molex/5034802000/2356628
AP2112K-3.3,U3,1,0.35,0.35,SOT23-5,https://www.digikey.jp/en/products/detail/diodes-incorporated/AP2112K-3-3TRG1/4470746
BM02B-SURS-TF(LF)(SN),J1,1,0.44,0.44,JST_BM02B-SURS-TF(LF)(SN),https://www.digikey.jp/en/products/detail/jst-sales-america-inc/BM02B-SURS-TF/2241777?s=N4IgTCBcDaIEIFkAMY4FoDKBVAShtAKgGIAUAMkQJQkYBylIAugL5A
BM03B-SRSS-TB(LF)(SN),J5,1,0.53,0.53,CONN_BM03B-SRSS-TB(LF)(SN)_JST,https://www.digikey.jp/en/products/detail/jst-sales-america-inc/BM03B-SRSS-TB/926695?s=N4IgTCBcDaIEIFkAMBmOBaAygJU59AKnABQAyAYgJTGYBylIAugL5A
ECS-120-18-33-JGN-TR3,Y1,1,0.4,0.4,XTAL_ECS-120-18-33-JGN-TR3,https://www.digikey.jp/en/products/detail/ecs-inc/ECS-120-18-33-JGN-TR3/14825142?s=N4IgTCBcDaIKIGEDKBaAjGADOgHCgzPigFIDiAcigCoBK%2BIAugL5A
MPU-6050,U2,1,8.71,8.71,QFN24_4MM_SMSC,https://www.digikey.jp/en/products/detail/tdk-invensense/MPU-6050/4038009
RP2040,U6,1,0.7,0.7,QFN40P700X700X90-57N,https://www.digikey.jp/en/products/detail/raspberry-pi/SC0914-13/14306010
5051100592,U1,1,0.7,0.7,5051100592,https://www.digikey.jp/en/products/detail/molex/5051100592/5700453
TMHF07,U2,1,0.2,0.2,TMHF07,https://www.alibaba.com/product-detail/kejian-tmhf07-6-5-6-2_1600173857791.html
U262-161N-4BVC11,J2,1,1,1,U262-161N-4BVC11,https://www.lcsc.com/product-detail/USB-Connectors_XKB-Connectivity-U262-161N-4BVC11_C319148.html
W25Q64JVXGIQ_TR,U5,1,1.1,1.1,DFN_XGIQ_TR_WIN,https://www.digikey.jp/en/products/detail/winbond-electronics/W25Q64JVXGIQ-TR/15181863
EVQQ2B03W,A B X Y START ,5,0.26,1.3,EVQQ2B03W,https://www.digikey.jp/en/products/detail/panasonic-electronic-components/EVQ-Q2B03W/762882?s=N4IgTCBcDaIKIDUCKSwCEAMBmA6iAugL5A
,,,Total BOM ,19.98,,
